NBC,Unnamed: 1,Unnamed: 2,Q2/2024,Q3/2024
Giai đoạn,,,01/04-30/06,01/07-30/09
Hợp nhất,,,Đơn lẻ,Đơn lẻ
Kiểm toán,,,Chưa kiểm toán,Chưa kiểm toán
5. Đầu tư nắm giữ đến ngày đáo hạn,,,,
6. Đầu tư dài hạn khác,,,,
VI. Tài sản dài hạn khác,,,43221553,46399032
1. Chi phí trả trước dài hạn,,,4516844,7694323
2. Tài sản thuế thu nhập hoãn lại,,,38704709,38704709
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",,,,
4. Tài sản dài hạn khác,,,,
,,,,
VII. Lợi thế thương mại,,,,
TỔNG CỘNG TÀI SẢN,,,2621434977,2429739931
NGUỒN VỐN,,,,
A. NỢ PHẢI TRẢ,,,2101989378,2014354638
I. Nợ ngắn hạn,,,1818780680,1778640119
1. Phải trả người bán ngắn hạn,,,332222345,430553651
2. Người mua trả tiền trước ngắn hạn,,,5546982,5166657
3. Thuế và các khoản phải nộp Nhà nước,,,58097078,26298230
4. Phải trả người lao động,,,97474385,83425439
5. Chi phí phải trả ngắn hạn,,,7077396,5677690
6. Phải trả nội bộ ngắn hạn,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,,,,
8. Doanh thu chưa thực hiện ngắn hạn,,,,
9. Phải trả ngắn hạn khác,,,245623440,216446407
10. Vay và nợ thuê tài chính ngắn hạn,,,939310248,896910729
11. Dự phòng phải trả ngắn hạn,,,75541500,65498232
"12. Quỹ khen thưởng, phúc lợi",,,57887307,48663084
13. Quỹ bình ổn giá,,,,
14. Giao dịch mua bán lại trái phiếu Chính phủ,,,,
II. Nợ dài hạn,,,283208698,235714519
1. Phải trả người bán dài hạn,,,,
2. Người mua trả tiền trước dài hạn,,,,
3. Chi phí phải trả dài hạn,,,,
4. Phải trả nội bộ về vốn kinh doanh,,,,
5. Phải trả nội bộ dài hạn,,,,
6. Doanh thu chưa thực hiện dài hạn,,,,
7. Phải trả dài hạn khác,,,,
8. Vay và nợ thuê tài chính dài hạn,,,283172332,235714519
9. Trái phiếu chuyển đổi,,,,
10. Cổ phiếu ưu đãi (Nợ),,,,
11. Thuế thu nhập hoãn lại phải trả,,,,
12. Dự phòng phải trả dài hạn,,,36366,
13. Quỹ phát triển khoa học và công nghệ,,,,
14. Dự phòng trợ cấp mất việc làm,,,,
B. VỐN CHỦ SỞ HỮU,,,519445600,415385292
I. Vốn chủ sở hữu,,,519430514,415370207
1. Vốn góp của chủ sở hữu,,,369991240,369991240
- Cổ phiếu phổ thông có quyền biểu quyết,,,369991240,369991240
- Cổ phiếu ưu đãi,,,,
2. Thặng dư vốn cổ phần,,,-193650,-193650
3. Quyền chọn chuyển đổi trái phiếu,,,,
4. Vốn khác của chủ sở hữu,,,,
5. Cổ phiếu quỹ (*),,,,
6. Chênh lệch đánh giá lại tài sản,,,,
7. Chênh lệch tỷ giá hối đoái,,,,
8. Quỹ đầu tư phát triển,,,78241782,78241782
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,,,,
10. Quỹ khác thuộc vốn chủ sở hữu,,,,
11. Lợi nhuận sau thuế chưa phân phối,,,71297252,-32763055
- LNST chưa phân phối lũy kế đến cuối kỳ trước,,,38704709,38704709
- LNST chưa phân phối kỳ này,,,32592543,-71467764
12. Nguồn vốn đầu tư XDCB,,,93891,93891
13. Lợi ích cổ đông không kiểm soát,,,,
14. Quỹ dự phòng tài chính,,,,
II. Nguồn kinh phí và quỹ khác,,,15085,15085
1. Nguồn kinh phí,,,15085,15085
2. Nguồn kinh phí đã hình thành TSCĐ,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,,,,
TỔNG CỘNG NGUỒN VỐN,,,2621434977,2429739931
