TVD,Unnamed: 1,Unnamed: 2,Q2/2024,Q3/2024
Giai đoạn,,,01/04-30/06,01/07-30/09
Hợp nhất,,,Đơn lẻ,Đơn lẻ
Kiểm toán,,,Chưa kiểm toán,Chưa kiểm toán
5. Đầu tư nắm giữ đến ngày đáo hạn,,,,
6. Đầu tư dài hạn khác,,,,
VI. Tài sản dài hạn khác,,,231202998,205013382
1. Chi phí trả trước dài hạn,,,167195696,141006080
2. Tài sản thuế thu nhập hoãn lại,,,64007302,64007302
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",,,,
4. Tài sản dài hạn khác,,,,
,,,,
VII. Lợi thế thương mại,,,,
TỔNG CỘNG TÀI SẢN,,,2732270503,2094363718
NGUỒN VỐN,,,,
A. NỢ PHẢI TRẢ,,,2086698451,1500039334
I. Nợ ngắn hạn,,,1564210065,958280982
1. Phải trả người bán ngắn hạn,,,696519199,520593436
2. Người mua trả tiền trước ngắn hạn,,,,4934003
3. Thuế và các khoản phải nộp Nhà nước,,,102424911,32435693
4. Phải trả người lao động,,,152627958,98099400
5. Chi phí phải trả ngắn hạn,,,101699715,85501409
6. Phải trả nội bộ ngắn hạn,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,,,,
8. Doanh thu chưa thực hiện ngắn hạn,,,,
9. Phải trả ngắn hạn khác,,,13469008,9978865
10. Vay và nợ thuê tài chính ngắn hạn,,,178540997,
11. Dự phòng phải trả ngắn hạn,,,248535074,159149408
"12. Quỹ khen thưởng, phúc lợi",,,70393204,47588768
13. Quỹ bình ổn giá,,,,
14. Giao dịch mua bán lại trái phiếu Chính phủ,,,,
II. Nợ dài hạn,,,522488386,541758352
1. Phải trả người bán dài hạn,,,,
2. Người mua trả tiền trước dài hạn,,,,
3. Chi phí phải trả dài hạn,,,,
4. Phải trả nội bộ về vốn kinh doanh,,,,
5. Phải trả nội bộ dài hạn,,,,
6. Doanh thu chưa thực hiện dài hạn,,,,
7. Phải trả dài hạn khác,,,,
8. Vay và nợ thuê tài chính dài hạn,,,515771891,535041857
9. Trái phiếu chuyển đổi,,,,
10. Cổ phiếu ưu đãi (Nợ),,,,
11. Thuế thu nhập hoãn lại phải trả,,,,
12. Dự phòng phải trả dài hạn,,,,
13. Quỹ phát triển khoa học và công nghệ,,,6716495,6716495
14. Dự phòng trợ cấp mất việc làm,,,,
B. VỐN CHỦ SỞ HỮU,,,645572052,594324384
I. Vốn chủ sở hữu,,,645572052,594324384
1. Vốn góp của chủ sở hữu,,,449628640,449628640
- Cổ phiếu phổ thông có quyền biểu quyết,,,449628640,449628640
- Cổ phiếu ưu đãi,,,,
2. Thặng dư vốn cổ phần,,,-393100,-393100
3. Quyền chọn chuyển đổi trái phiếu,,,,
4. Vốn khác của chủ sở hữu,,,351818,351818
5. Cổ phiếu quỹ (*),,,,
6. Chênh lệch đánh giá lại tài sản,,,,
7. Chênh lệch tỷ giá hối đoái,,,,
8. Quỹ đầu tư phát triển,,,63026310,63026310
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,,,,
10. Quỹ khác thuộc vốn chủ sở hữu,,,,
11. Lợi nhuận sau thuế chưa phân phối,,,132958383,81710715
- LNST chưa phân phối lũy kế đến cuối kỳ trước,,,64007302,64007302
- LNST chưa phân phối kỳ này,,,68951082,17703414
12. Nguồn vốn đầu tư XDCB,,,,
13. Lợi ích cổ đông không kiểm soát,,,,
14. Quỹ dự phòng tài chính,,,,
II. Nguồn kinh phí và quỹ khác,,,,
1. Nguồn kinh phí,,,,
2. Nguồn kinh phí đã hình thành TSCĐ,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,,,,
TỔNG CỘNG NGUỒN VỐN,,,2732270503,2094363718
