THT,Unnamed: 1,Unnamed: 2,Q2/2024,Q3/2024
Giai đoạn,,,01/04-30/06,01/07-30/09
Hợp nhất,,,Đơn lẻ,Đơn lẻ
Kiểm toán,,,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,
Ý kiến kiểm toán,,,,
,,,,
TÀI SẢN,,,,
5. Đầu tư nắm giữ đến ngày đáo hạn,,,,
6. Đầu tư dài hạn khác,,,,
VI. Tài sản dài hạn khác,,,82456134,82948570
1. Chi phí trả trước dài hạn,,,19592030,20084466
2. Tài sản thuế thu nhập hoãn lại,,,62864104,62864104
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",,,,
4. Tài sản dài hạn khác,,,,
,,,,
VII. Lợi thế thương mại,,,,
TỔNG CỘNG TÀI SẢN,,,1896731780,1548377148
NGUỒN VỐN,,,,
A. NỢ PHẢI TRẢ,,,1497935464,1147617894
I. Nợ ngắn hạn,,,1281686840,935355794
1. Phải trả người bán ngắn hạn,,,236865487,235679561
2. Người mua trả tiền trước ngắn hạn,,,155602,2497711
3. Thuế và các khoản phải nộp Nhà nước,,,93240712,18384408
4. Phải trả người lao động,,,56616715,28352089
5. Chi phí phải trả ngắn hạn,,,71634271,70821703
6. Phải trả nội bộ ngắn hạn,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,,,,
8. Doanh thu chưa thực hiện ngắn hạn,,,,
9. Phải trả ngắn hạn khác,,,4331774,3284519
10. Vay và nợ thuê tài chính ngắn hạn,,,16828000,27043220
11. Dự phòng phải trả ngắn hạn,,,762333759,516178506
"12. Quỹ khen thưởng, phúc lợi",,,39680520,33114078
13. Quỹ bình ổn giá,,,,
14. Giao dịch mua bán lại trái phiếu Chính phủ,,,,
II. Nợ dài hạn,,,216248625,212262100
1. Phải trả người bán dài hạn,,,,
2. Người mua trả tiền trước dài hạn,,,,
3. Chi phí phải trả dài hạn,,,,
4. Phải trả nội bộ về vốn kinh doanh,,,,
5. Phải trả nội bộ dài hạn,,,,
6. Doanh thu chưa thực hiện dài hạn,,,,
7. Phải trả dài hạn khác,,,,
8. Vay và nợ thuê tài chính dài hạn,,,216248625,212262100
9. Trái phiếu chuyển đổi,,,,
10. Cổ phiếu ưu đãi (Nợ),,,,
11. Thuế thu nhập hoãn lại phải trả,,,,
12. Dự phòng phải trả dài hạn,,,,
13. Quỹ phát triển khoa học và công nghệ,,,,
14. Dự phòng trợ cấp mất việc làm,,,,
B. VỐN CHỦ SỞ HỮU,,,398796316,400759254
I. Vốn chủ sở hữu,,,398796316,400759254
1. Vốn góp của chủ sở hữu,,,245690520,245690520
- Cổ phiếu phổ thông có quyền biểu quyết,,,245690520,245690520
- Cổ phiếu ưu đãi,,,,
2. Thặng dư vốn cổ phần,,,-46818,-46818
3. Quyền chọn chuyển đổi trái phiếu,,,,
4. Vốn khác của chủ sở hữu,,,569137,569137
5. Cổ phiếu quỹ (*),,,,
6. Chênh lệch đánh giá lại tài sản,,,,
7. Chênh lệch tỷ giá hối đoái,,,,
8. Quỹ đầu tư phát triển,,,38569844,38569844
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,,,,
10. Quỹ khác thuộc vốn chủ sở hữu,,,,
11. Lợi nhuận sau thuế chưa phân phối,,,114013633,115976571
- LNST chưa phân phối lũy kế đến cuối kỳ trước,,,61386344,61386344
- LNST chưa phân phối kỳ này,,,52627289,54590227
12. Nguồn vốn đầu tư XDCB,,,,
13. Lợi ích cổ đông không kiểm soát,,,,
14. Quỹ dự phòng tài chính,,,,
II. Nguồn kinh phí và quỹ khác,,,,
1. Nguồn kinh phí,,,,
2. Nguồn kinh phí đã hình thành TSCĐ,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,,,,
TỔNG CỘNG NGUỒN VỐN,,,1896731780,1548377148
