HLC,Unnamed: 1,Unnamed: 2,Q2/2024,Q3/2024
Giai đoạn,,,01/04-30/06,01/07-30/09
Hợp nhất,,,Đơn lẻ,Đơn lẻ
Kiểm toán,,,Chưa kiểm toán,Chưa kiểm toán
5. Đầu tư nắm giữ đến ngày đáo hạn,,,,
6. Đầu tư dài hạn khác,,,,
VI. Tài sản dài hạn khác,,,114178120,108430746
1. Chi phí trả trước dài hạn,,,103460938,97713564
2. Tài sản thuế thu nhập hoãn lại,,,10717182,10717182
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",,,,
4. Tài sản dài hạn khác,,,,
,,,,
VII. Lợi thế thương mại,,,,
TỔNG CỘNG TÀI SẢN,,,1692056386,1558084134
NGUỒN VỐN,,,,
A. NỢ PHẢI TRẢ,,,1310730184,1165247923
I. Nợ ngắn hạn,,,1035310202,914682400
1. Phải trả người bán ngắn hạn,,,221959763,186071935
2. Người mua trả tiền trước ngắn hạn,,,,2995470
3. Thuế và các khoản phải nộp Nhà nước,,,49210706,47341179
4. Phải trả người lao động,,,100128093,46109925
5. Chi phí phải trả ngắn hạn,,,7464033,11395247
6. Phải trả nội bộ ngắn hạn,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,,,,
8. Doanh thu chưa thực hiện ngắn hạn,,,,
9. Phải trả ngắn hạn khác,,,27950021,9774934
10. Vay và nợ thuê tài chính ngắn hạn,,,494101421,479119121
11. Dự phòng phải trả ngắn hạn,,,76935000,80631767
"12. Quỹ khen thưởng, phúc lợi",,,57561164,51242822
13. Quỹ bình ổn giá,,,,
14. Giao dịch mua bán lại trái phiếu Chính phủ,,,,
II. Nợ dài hạn,,,275419982,250565523
1. Phải trả người bán dài hạn,,,,
2. Người mua trả tiền trước dài hạn,,,,
3. Chi phí phải trả dài hạn,,,,
4. Phải trả nội bộ về vốn kinh doanh,,,,
5. Phải trả nội bộ dài hạn,,,,
6. Doanh thu chưa thực hiện dài hạn,,,,
7. Phải trả dài hạn khác,,,,
8. Vay và nợ thuê tài chính dài hạn,,,275419982,250565523
9. Trái phiếu chuyển đổi,,,,
10. Cổ phiếu ưu đãi (Nợ),,,,
11. Thuế thu nhập hoãn lại phải trả,,,,
12. Dự phòng phải trả dài hạn,,,,
13. Quỹ phát triển khoa học và công nghệ,,,,
14. Dự phòng trợ cấp mất việc làm,,,,
B. VỐN CHỦ SỞ HỮU,,,381326202,392836211
I. Vốn chủ sở hữu,,,381326202,392836211
1. Vốn góp của chủ sở hữu,,,254151990,254151990
- Cổ phiếu phổ thông có quyền biểu quyết,,,254151990,254151990
- Cổ phiếu ưu đãi,,,,
2. Thặng dư vốn cổ phần,,,,
3. Quyền chọn chuyển đổi trái phiếu,,,,
4. Vốn khác của chủ sở hữu,,,,
5. Cổ phiếu quỹ (*),,,,
6. Chênh lệch đánh giá lại tài sản,,,,
7. Chênh lệch tỷ giá hối đoái,,,,
8. Quỹ đầu tư phát triển,,,73894566,73894566
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,,,,
10. Quỹ khác thuộc vốn chủ sở hữu,,,,
11. Lợi nhuận sau thuế chưa phân phối,,,53279646,64789655
- LNST chưa phân phối lũy kế đến cuối kỳ trước,,,10717182,10717182
- LNST chưa phân phối kỳ này,,,42562464,54072473
12. Nguồn vốn đầu tư XDCB,,,,
13. Lợi ích cổ đông không kiểm soát,,,,
14. Quỹ dự phòng tài chính,,,,
II. Nguồn kinh phí và quỹ khác,,,,
1. Nguồn kinh phí,,,,
2. Nguồn kinh phí đã hình thành TSCĐ,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,,,,
TỔNG CỘNG NGUỒN VỐN,,,1692056386,1558084134
