Feature,2023
TÀI SẢN,
A. TÀI SẢN NGẮN HẠN,694950548
I. Tiền và các khoản tương đương tiền,5233820
1. Tiền,5233820
2. Các khoản tương đương tiền,
II. Đầu tư tài chính ngắn hạn,
1. Chứng khoán kinh doanh,
2. Dự phòng giảm giá chứng khoán kinh doanh,
3. Đầu tư nắm giữ đến ngày đáo hạn,
III. Các khoản phải thu ngắn hạn,201100634
1. Phải thu ngắn hạn của khách hàng,188332406
2. Trả trước cho người bán ngắn hạn,12860766
3. Phải thu nội bộ ngắn hạn,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,
5. Phải thu về cho vay ngắn hạn,
6. Phải thu ngắn hạn khác,2860040
7. Dự phòng phải thu ngắn hạn khó đòi,
8. Tài sản thiếu chờ xử lý,
IV. Hàng tồn kho,395195877
1. Hàng tồn kho,395195877
2. Dự phòng giảm giá hàng tồn kho,
V. Tài sản ngắn hạn khác,93420218
1. Chi phí trả trước ngắn hạn,39029475
2. Thuế GTGT được khấu trừ,50873053
3. Thuế và các khoản khác phải thu của nhà nước,3517690
4. Giao dịch mua bán lại trái phiếu chính phủ,
5. Tài sản ngắn hạn khác,
B. TÀI SẢN DÀI HẠN,916920003
I. Các khoản phải thu dài hạn,94386526
1. Phải thu dài hạn của khách hàng,
2. Trả trước cho người bán dài hạn,
3. Vốn kinh doanh ở các đơn vị trực thuộc,
4. Phải thu nội bộ dài hạn,
5. Phải thu về cho vay dài hạn,
6. Phải thu dài hạn khác,94386526
7. Dự phòng phải thu dài hạn khó đòi,
II. Tài sản cố định,737699501
1. Tài sản cố định hữu hình,625717746
- Nguyên giá,
- Giá trị hao mòn lũy kế,
2. Tài sản cố định thuê tài chính,
- Nguyên giá,
- Giá trị hao mòn lũy kế,
3. Tài sản cố định vô hình,111981755
- Nguyên giá,
- Giá trị hao mòn lũy kế,
III. Bất động sản đầu tư,
- Nguyên giá,
- Giá trị hao mòn lũy kế,
IV. Tài sản dở dang dài hạn,1123894
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",
2. Chi phí xây dựng cơ bản dở dang,1123894
V. Đầu tư tài chính dài hạn,
1. Đầu tư vào công ty con,
2. Đầu tư vào công ty liên kết. liên doanh,
3. Đầu tư góp vốn vào đơn vị khác,
4. Dự phòng đầu tư tài chính dài hạn,
5. Đầu tư nắm giữ đến ngày đáo hạn,
6. Đầu tư dài hạn khác,
VI. Tài sản dài hạn khác,83710083
1. Chi phí trả trước dài hạn,22323739
2. Tài sản thuế thu nhập hoãn lại,61386344
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",
4. Tài sản dài hạn khác,
VII. Lợi thế thương mại,
TỔNG CỘNG TÀI SẢN,1611870551
NGUỒN VỐN,
A. NỢ PHẢI TRẢ,1208609607
I. Nợ ngắn hạn,954897380
1. Phải trả người bán ngắn hạn,543904370
2. Người mua trả tiền trước ngắn hạn,178113
3. Thuế và các khoản phải nộp Nhà nước,49857286
4. Phải trả người lao động,126050581
5. Chi phí phải trả ngắn hạn,144296
6. Phải trả nội bộ ngắn hạn,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,
8. Doanh thu chưa thực hiện ngắn hạn,
9. Phải trả ngắn hạn khác,3724384
10. Vay và nợ thuê tài chính ngắn hạn,208089599
11. Dự phòng phải trả ngắn hạn,
"12. Quỹ khen thưởng, phúc lợi",22948752
13. Quỹ bình ổn giá,
14. Giao dịch mua bán lại trái phiếu Chính phủ,
II. Nợ dài hạn,253712226
1. Phải trả người bán dài hạn,
2. Người mua trả tiền trước dài hạn,
3. Chi phí phải trả dài hạn,
4. Phải trả nội bộ về vốn kinh doanh,
5. Phải trả nội bộ dài hạn,
6. Doanh thu chưa thực hiện dài hạn,
7. Phải trả dài hạn khác,
8. Vay và nợ thuê tài chính dài hạn,253712226
9. Trái phiếu chuyển đổi,
10. Cổ phiếu ưu đãi (Nợ),
11. Thuế thu nhập hoãn lại phải trả,
12. Dự phòng phải trả dài hạn,
13. Quỹ phát triển khoa học và công nghệ,
14. Dự phòng trợ cấp mất việc làm,
B. VỐN CHỦ SỞ HỮU,403260944
I. Vốn chủ sở hữu,403260944
1. Vốn góp của chủ sở hữu,245690520
- Cổ phiếu phổ thông có quyền biểu quyết,245690520
- Cổ phiếu ưu đãi,
2. Thặng dư vốn cổ phần,-46818
3. Quyền chọn chuyển đổi trái phiếu,
4. Vốn khác của chủ sở hữu,569137
5. Cổ phiếu quỹ,
6. Chênh lệch đánh giá lại tài sản,
7. Chênh lệch tỷ giá hối đoái,
8. Quỹ đầu tư phát triển,38569844
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,
10. Quỹ khác thuộc vốn chủ sở hữu,
11. Lợi nhuận sau thuế chưa phân phối,118478261
- LNST chưa phân phối lũy kế đến cuối kỳ trước,47123031
- LNST chưa phân phối kỳ này,71355231
12. Nguồn vốn đầu tư XDCB,
13. Lợi ích cổ đông không kiểm soát,
14. Quỹ dự phòng tài chính,
II. Nguồn kinh phí và quỹ khác,
1. Nguồn kinh phí,
2. Nguồn kinh phí đã hình thành TSCĐ,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,
TỔNG CỘNG NGUỒN VỐN,1611870551
