HLC,Unnamed: 1,Unnamed: 2,2022,2023
Giai đoạn,,,01/01-31/12,01/01-31/12
Hợp nhất,,,Đơn lẻ,Đơn lẻ
Kiểm toán,,,Kiểm toán,Kiểm toán
Công ty kiểm toán,,,PKF,AFC
Ý kiến kiểm toán,,,Chấp nhận toàn phần,Chấp nhận toàn phần
,,,,
TÀI SẢN,,,,
- LNST chưa phân phối kỳ này,,,78624119,99167556
12. Nguồn vốn đầu tư XDCB,,,,
13. Lợi ích cổ đông không kiểm soát,,,,
14. Quỹ dự phòng tài chính,,,,
II. Nguồn kinh phí và quỹ khác,,,,
1. Nguồn kinh phí,,,,
2. Nguồn kinh phí đã hình thành TSCĐ,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,,,,
TỔNG CỘNG NGUỒN VỐN,,,2860263354,2247509845
Giai đoạn,,,01/01-31/12,01/01-31/12
Hợp nhất,,,Đơn lẻ,Đơn lẻ
Kiểm toán,,,Kiểm toán,Kiểm toán
Công ty kiểm toán,,,PKF,AFC
Ý kiến kiểm toán,,,Chấp nhận toàn phần,Chấp nhận toàn phần
,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,,,3751357641,3134071263
2. Các khoản giảm trừ doanh thu,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,,,3751357641,3134071263
4. Giá vốn hàng bán,,,3361035846,2752093319
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,,390321795,381977944
6.Doanh thu hoạt động tài chính,,,981982,946735
7. Chi phí tài chính,,,142435169,112426165
Trong đó :Chi phí lãi vay,,,121495028,87352383
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,
9. Chi phí bán hàng,,,4576395,4403814
10. Chi phí quản lý doanh nghiệp,,,146331406,146820400
11. Lợi nhuận thuần từ hoạt động kinh doanh,,,97960808,119274299
12. Thu nhập khác,,,3878993,4989932
13. Chi phí khác,,,2818248,220919
14. Lợi nhuận khác,,,1060744,4769012
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,
15. Tổng lợi nhuận kế toán trước thuế,,,99021552,124043311
16. Chi phí thuế TNDN hiện hành,,,31114615,24875755
17. Chi phí thuế TNDN hoãn lại,,,-10717182,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,,,78624119,99167556
Lợi ích của cổ đông thiểu số,,,,
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,,,78624119,99167556
19. Lãi cơ bản trên cổ phiếu (*),,,3094,3902
20. Lãi suy giảm trên cổ phiếu (*),,,,
