APP,Unnamed: 1,Unnamed: 2,2022,2023
Giai đoạn,,,01/01-31/12,01/01-31/12
Hợp nhất,,,Đơn lẻ,Đơn lẻ
Kiểm toán,,,Kiểm toán,Kiểm toán
Công ty kiểm toán,,,VACO,VACO
Ý kiến kiểm toán,,,Chấp nhận từng phần - Ngoại trừ,Chấp nhận từng phần - Ngoại trừ
,,,,
TÀI SẢN,,,,
A. NỢ PHẢI TRẢ,,,35584206,36241135
I. Nợ ngắn hạn,,,35584206,36241135
1. Phải trả người bán ngắn hạn,,,2098206,2451049
2. Người mua trả tiền trước ngắn hạn,,,1592368,638049
3. Thuế và các khoản phải nộp Nhà nước,,,364547,306979
4. Phải trả người lao động,,,515136,17861
5. Chi phí phải trả ngắn hạn,,,36749,60705
6. Phải trả nội bộ ngắn hạn,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,,,,
8. Doanh thu chưa thực hiện ngắn hạn,,,,
9. Phải trả ngắn hạn khác,,,361134,330735
10. Vay và nợ thuê tài chính ngắn hạn,,,30602453,32422145
11. Dự phòng phải trả ngắn hạn,,,,
"12. Quỹ khen thưởng, phúc lợi",,,13613,13613
13. Quỹ bình ổn giá,,,,
14. Giao dịch mua bán lại trái phiếu Chính phủ,,,,
II. Nợ dài hạn,,,,
1. Phải trả người bán dài hạn,,,,
2. Người mua trả tiền trước dài hạn,,,,
3. Chi phí phải trả dài hạn,,,,
4. Phải trả nội bộ về vốn kinh doanh,,,,
5. Phải trả nội bộ dài hạn,,,,
6. Doanh thu chưa thực hiện dài hạn,,,,
7. Phải trả dài hạn khác,,,,
8. Vay và nợ thuê tài chính dài hạn,,,,
9. Trái phiếu chuyển đổi,,,,
10. Cổ phiếu ưu đãi (Nợ),,,,
11. Thuế thu nhập hoãn lại phải trả,,,,
12. Dự phòng phải trả dài hạn,,,,
13. Quỹ phát triển khoa học và công nghệ,,,,
14. Dự phòng trợ cấp mất việc làm,,,,
B. VỐN CHỦ SỞ HỮU,,,50135842,45633692
I. Vốn chủ sở hữu,,,49499482,44997333
1. Vốn góp của chủ sở hữu,,,47246320,47246320
- Cổ phiếu phổ thông có quyền biểu quyết,,,47246320,47246320
- Cổ phiếu ưu đãi,,,,
2. Thặng dư vốn cổ phần,,,-20000,-20000
3. Quyền chọn chuyển đổi trái phiếu,,,,
4. Vốn khác của chủ sở hữu,,,,
5. Cổ phiếu quỹ (*),,,,
6. Chênh lệch đánh giá lại tài sản,,,,
7. Chênh lệch tỷ giá hối đoái,,,,
8. Quỹ đầu tư phát triển,,,78624,78624
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,,,,
10. Quỹ khác thuộc vốn chủ sở hữu,,,,
11. Lợi nhuận sau thuế chưa phân phối,,,2194538,-2307612
- LNST chưa phân phối lũy kế đến cuối kỳ trước,,,1760564,2194538
- LNST chưa phân phối kỳ này,,,433974,-4502150
12. Nguồn vốn đầu tư XDCB,,,,
13. Lợi ích cổ đông không kiểm soát,,,,
14. Quỹ dự phòng tài chính,,,,
II. Nguồn kinh phí và quỹ khác,,,636359,636359
1. Nguồn kinh phí,,,-28263,-28263
2. Nguồn kinh phí đã hình thành TSCĐ,,,664622,664622
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,,,,
TỔNG CỘNG NGUỒN VỐN,,,85720048,81874827
Giai đoạn,,,01/01-31/12,01/01-31/12
Hợp nhất,,,Đơn lẻ,Đơn lẻ
Kiểm toán,,,Kiểm toán,Kiểm toán
Công ty kiểm toán,,,VACO,VACO
Ý kiến kiểm toán,,,Chấp nhận từng phần - Ngoại trừ,Chấp nhận từng phần - Ngoại trừ
,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,,,271693144,201467598
2. Các khoản giảm trừ doanh thu,,,409256,643652
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,,,271283887,200823945
4. Giá vốn hàng bán,,,247279563,184099713
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,,24004325,16724232
6.Doanh thu hoạt động tài chính,,,136234,170924
7. Chi phí tài chính,,,2441974,2284446
Trong đó :Chi phí lãi vay,,,2239369,2175288
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,
9. Chi phí bán hàng,,,11775950,10065722
10. Chi phí quản lý doanh nghiệp,,,9550895,9058331
11. Lợi nhuận thuần từ hoạt động kinh doanh,,,371741,-4513341
12. Thu nhập khác,,,390010,48355
13. Chi phí khác,,,113119,37163
14. Lợi nhuận khác,,,276891,11192
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,
15. Tổng lợi nhuận kế toán trước thuế,,,648632,-4502150
16. Chi phí thuế TNDN hiện hành,,,214658,
17. Chi phí thuế TNDN hoãn lại,,,,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,,,433974,-4502150
Lợi ích của cổ đông thiểu số,,,,
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,,,433974,-4502150
19. Lãi cơ bản trên cổ phiếu (*),,,92,-953
20. Lãi suy giảm trên cổ phiếu (*),,,,
