Time,ValueTrading,VolumeTrading,Symbol
2024-11-14,27.1,"9,896,500",HCM
2024-11-14,25.25,"7,753,800",HDB
2024-11-14,25.35,"1,800,200",HDC
2024-11-14,27.85,"3,433,800",HDG
2024-11-14,9,"202,000",HHP
2024-11-14,7.19,"509,000",HHS
2024-11-14,11,"2,918,100",HHV
2024-11-14,2.7,"20,700",HID
2024-11-14,4.43,"115,000",HII
2024-11-14,10.95,"10,800",HMC
2024-11-14,25.8,"3,900",HNA
2024-11-14,26.3,"26,564,300",HPG
2024-11-14,4.7,"1,412,400",HPX
2024-11-14,3.13,"1,672,900",HQC
2024-11-14,41.4,0,HRC
2024-11-14,19.1,"12,265,500",HSG
2024-11-14,4.17,"39,700",HSL
2024-11-14,11.75,"212,600",HT1
2024-11-14,45.8,"34,300",HTG
2024-11-14,16.05,"4,800",HTI
2024-11-14,28.85,"17,100",HTL
2024-11-14,7.56,"231,700",HTN
2024-11-14,9.3,400,HTV
2024-11-14,6.5,"12,200",HU1
2024-11-14,18.5,"18,700",HUB
2024-11-14,8.28,"592,800",HVH
2024-11-14,26.25,"3,981,700",HVN
2024-11-14,2.49,"9,000",HVX
2024-11-14,12.8,"221,600",ICT
2024-11-14,8.38,"648,000",IDI
2024-11-14,13.3,"764,300",IJC
2024-11-14,32.5,"1,500",ILB
2024-11-14,42.8,"55,700",IMP
2024-08-27,3.73,"620,300",ITA
2024-11-14,10.7,"165,400",ITC
2024-11-14,13.8,"89,300",ITD
2024-11-14,3.15,"144,500",JVC
2024-11-14,28.65,"7,495,500",KBC
2024-11-14,50.2,"582,800",KDC
2024-11-14,33.35,"1,608,200",KDH
2024-11-14,5.26,"2,820,100",KHG
2024-11-14,12.65,"133,900",KHP
2024-11-14,3.22,"8,700",KMR
2024-11-14,38.55,"346,800",KOS
2024-11-14,1.72,"194,100",KPF
2024-11-14,17.8,"1,101,000",KSB
2024-11-14,21.6,0,L10
2024-11-14,17.9,"16,300",LAF
2024-11-14,27.15,"10,700",LBM
2024-11-14,10.05,"1,324,800",LCG
2024-11-14,1.88,"1,070,000",LDG
2024-08-15,6.2,200,LEC
2024-11-14,62,100,LGC
2024-11-14,2.46,"8,200",LGL
2024-11-14,37.8,"357,300",LHG
2024-11-14,33.05,"14,200",LIX
2024-11-14,14.3,"2,700",LM8
2024-11-14,31.4,"957,600",LPB
2024-11-14,11.65,"317,800",LSS
2024-11-14,23.8,"8,429,800",MBB
2024-11-14,34.9,"32,300",MCM
2024-11-14,28.5,"1,000",MCP
2024-11-14,11.95,100,MDG
2024-11-14,6.3,"9,800",MHC
2024-11-14,16.7,"134,800",MIG
2024-11-14,11.6,"7,200,500",MSB
2024-11-14,52,"549,300",MSH
2024-11-14,71.4,"4,521,100",MSN
2024-11-14,61.3,"4,481,400",MWG
2024-11-14,15.35,"1,052,600",NAB
2024-11-14,19.55,"480,500",NAF
