Mã CK,XHC,XHC.1,XHC.2,XHC.3,XHC.4,XMC,XMC.1,XMC.2,XMC.3,XMC.4,XMP,XMP.1,XMP.2,XMP.3,XMP.4
Kỳ/năm,Quý 1/2024,Quý 2/2024,Quý 3/2024,6 tháng/2024,9 tháng/2024,Quý 1/2024,Quý 2/2024,Quý 3/2024,6 tháng/2024,9 tháng/2024,Quý 1/2024,Quý 2/2024,Quý 3/2024,6 tháng/2024,9 tháng/2024
Trạng thái hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Trạng thái kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Soát xét,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Soát xét,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Soát xét,Chưa kiểm toán
Công ty kiểm toán,,,,RSM,,,,,NVT,,,,,AASC,
Ý kiến kiểm toán,,,,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,,,,,Chấp nhận toàn phần,,,,,Chấp nhận toàn phần,
Ngày công bố báo cáo,23-04-2024,23-07-2024,22-10-2024,16-08-2024,22-10-2024,03-05-2024,01-08-2024,30-10-2024,05-09-2024,30-10-2024,22-04-2024,23-07-2024,22-10-2024,07-08-2024,22-10-2024
Ngày ký kiểm toán,,,,15-08-2024,,,,,28-08-2024,,,,,05-08-2024,
CÂN ĐỐI KẾ TOÁNMS,,,,,,,,,,,,,,,
TÀI SẢN,,,,,,,,,,,,,,,
7. Dự phòng phải thu ngắn hạn khó đòi137,-6798599821,-6798599821,-6798599821,-6798599821,-6798599821,-293083777222,-295742417202,-303295325389,-307793793964,-303295325389,,,,,
8. Tài sản thiếu chờ xử lý139,413088452,413088452,413088452,413088452,413088452,,,,,,,,,,
IV. Hàng tồn kho140,191342323341,182935174438,173584013748,183260520900,173584013748,1196543363296,1035726751635,1049845334902,1022857979874,1049845334902,1850974706,2036684029,2103475072,2036684029,2103475072
1. Hàng tồn kho141,193977235880,185523089658,176171928968,185848436120,176171928968,1201001368040,1040184756379,1054303339646,1027315984618,1054303339646,1850974706,2036684029,2103475072,2036684029,2103475072
2. Dự phòng giảm giá hàng tồn kho 149,-2634912539,-2587915220,-2587915220,-2587915220,-2587915220,-4458004744,-4458004744,-4458004744,-4458004744,-4458004744,,,,,
V. Tài sản ngắn hạn khác150,6724817108,7186184010,5846102331,7181093101,5846102331,43810899836,27481593976,18510548291,27217093084,18510548291,438000000,,,,
1. Chi phí trả trước ngắn hạn151,276532414,258611435,349361750,253520526,349361750,1670319349,2138288204,1344169302,1876593472,1344169302,438000000,,,,
2. Thuế GTGT còn được khấu trừ152,6026894361,6610392499,5110229606,6610392499,5110229606,39633739983,21052526632,12856082431,21049720472,12856082431,,,,,
3. Thuế và các khoản khác phải thu của nhà nước153,421390333,317180076,386510975,317180076,386510975,2506840504,4290779140,4310296558,4290779140,4310296558,,,,,
4. Giao dịch mua bán lại trái phiếu Chính phủ (TS)154,,,,,,,,,,,,,,,
5. Tài sản ngắn hạn khác155,,,,,,,,,,,,,,,
